dt,sum tp midnight,mean_tp_midnight,sum azp midnight ,mean_azp_midnight,azp-tp,standard deviation,percentage
0:00:00,2940.8,8.330878,7190.241,20.543546,12.212668,0.001698506,0.169850607
0:15:00,2826.2,8.006232,6662.431,19.035517,11.029285,0.001655445,0.165544454
0:30:00,2670.4,7.564873,6121.219,17.539309,9.974436,0.001629485,0.162948524
0:45:00,2461.9,6.974221,5549.249,15.854997,8.880776,0.001600356,0.160035637
1:00:00,2335.3,6.615581,5329.564,15.227326,8.611745,0.001615844,0.161584419
1:15:00,2345.7,6.645042,5320.039,15.200111,8.555069,0.001608084,0.160808389
1:30:00,2358.3,6.680737,5306.992,15.162834,8.482097,0.001598287,0.159828713
1:45:00,2355.5,6.672805,5306.954,15.162726,8.489921,0.001599773,0.159977286
2:00:00,2030.6,5.752408,5295.818,15.130909,9.378501,0.001770926,0.177092585
2:15:00,1845.1,5.226912,5272.314,15.020838,9.793926,0.001857614,0.185761432
2:30:00,1835.1,5.198584,5269.209,15.011991,9.813407,0.001862406,0.18624061
2:45:00,1830.3,5.184986,5251.183,14.960635,9.775649,0.001861609,0.18616089
3:00:00,1831.3,5.187819,5241.292,14.932456,9.744637,0.001859205,0.185920513
3:15:00,1831.6,5.188669,5220.987,14.874607,9.685938,0.001855193,0.18551929
3:30:00,1835.6,5.2,5211.02,14.846211,9.646211,0.001851118,0.185111763
3:45:00,1836.6,5.202833,5202.535,14.822037,9.619204,0.001848946,0.184894556
4:00:00,1840.7,5.199718,5197.994,14.8091,9.609382,0.001848671,0.184867124
4:15:00,2058.2,5.797746,5230.377,14.901359,9.103613,0.001740527,0.174052712
4:30:00,2317.5,6.528169,5218.994,14.868929,8.34076,0.001598155,0.159815474
4:45:00,2331.5,6.604816,5209.723,14.842516,8.2377,0.001581217,0.158121651
5:00:00,2551.5,7.207627,5710.077,16.268026,9.060399,0.001586738,0.15867385
